Baseline,transformer,mobilevit,lstm,gru
0.000326069768552,0.000326118198948,0.000326123449888,0.000250869020025,0.000163065970935
0.000328027321368,0.000328076548415,0.000328081864526,0.000252375528261,0.000164045152393
0.000329969370417,0.00033001939154,0.000330024771207,0.000253870104412,0.000165016573901
0.000331918944407,0.000331969785558,0.000331975232004,0.000255370494838,0.000165991776579
0.000333922575599,0.000333974328673,0.00033397985646,0.000256912567879,0.000166994089095
0.000335910103796,0.000335962766496,0.000335968374067,0.000258442248241,0.000167988342387
0.000337854766731,0.000337908300372,0.000337913979999,0.000259938908813,0.000168961121248
0.00033979194234,0.000339846356009,0.000339852108114,0.000261429817022,0.000169930159611
0.000341723182712,0.000341778486163,0.000341784311212,0.000262916167345,0.000170896233819
0.000343153483956,0.000343209002188,0.00034321478369,0.00026401641856,0.000171611197036
0.000342672215353,0.00034272523727,0.000342730510469,0.000263643182498,0.000171367814662
0.000342388865107,0.000342439464152,0.00034244423591,0.000263422258698,0.000171223434348
0.000347567449883,0.000347623343602,0.000347628921213,0.000267411459092,0.000173817234373
0.000352170708409,0.000352231126073,0.000352237377054,0.000270957232558,0.000176122640496
0.000354163343126,0.000354224758591,0.000354231089909,0.00027249090032,0.000177119460609
0.000356053859274,0.000356116238187,0.000356122647237,0.000273945985787,0.000178065204971
0.000357937446494,0.000358000798454,0.00035800728569,0.000275395748861,0.000179007488266
0.000359302979708,0.000359366558341,0.000359372995752,0.000276446169694,0.000179690040155
0.000358826462203,0.000358887477857,0.000358893389611,0.000276076499382,0.000179448946911
0.000358544426284,0.000358602967195,0.000358608362055,0.000275856512498,0.000179305148125
0.000363643708337,0.000363707886946,0.000363714131526,0.000279785053212,0.000181859543954
0.000368079070902,0.000368147927684,0.000368154858282,0.000283201809828,0.000184081077866
0.000369968796356,0.000370038659478,0.000370045662476,0.000284656300717,0.000185026406937
0.000371772305261,0.000371843154145,0.000371850229584,0.000286044457892,0.000185928625608
0.000373618068279,0.000373689990149,0.000373697151521,0.000287465212267,0.000186852046602
0.000374979580981,0.000375051834274,0.000375058955001,0.000288512634703,0.000187532646328
0.000374505368558,0.000374575006066,0.000374581586287,0.00028814466435,0.000187292632508
0.000374135425565,0.000374202409527,0.000374208436206,0.000287856841298,0.000187104687286
0.000377582542273,0.000377652907276,0.000377659387623,0.000290511923327,0.000188830826705
0.000381102350855,0.00038117621833,0.000381183168786,0.000293223046402,0.000190593405022
0.000384507777473,0.000384585122928,0.000384592543804,0.000295846167948,0.000192298790459
0.000387002603838,0.000387082086815,0.000387089757165,0.000297767346054,0.000193547655515
0.000386573292762,0.000386650139362,0.000386657259306,0.000297433876077,0.000193330045624
0.000386205221219,0.000386279376084,0.000386285931754,0.000297147439699,0.0001931429833
0.000391054373022,0.000391134558328,0.000391142003418,0.000300883934942,0.000195572544966
0.000395371959217,0.000395457326545,0.000395465517447,0.000304210585311,0.000197735533184
0.000397183771559,0.000397270300351,0.000397278572902,0.000305605270406,0.000198641970131
0.000398466415519,0.000398553317305,0.000398561543906,0.00030659203818,0.000199283117227
0.00039799971461,0.000398083927955,0.000398091593734,0.000306229745567,0.000199046759176
0.000397700514679,0.000397782133595,0.000397789246808,0.000305996384355,0.000198894203317
0.000400997335635,0.000401082558254,0.000401090143506,0.000308536049337,0.000200545308068
0.000404322867971,0.000404411749461,0.000404419811761,0.000311097849643,0.000202210798859
0.000407539928842,0.000407632437761,0.000407640976931,0.000313576189102,0.0002038220489
0.000409926935025,0.000410021741746,0.000410030541184,0.000315414562948,0.000205017074996
0.000409502615955,0.000409594731558,0.00040960296305,0.000315084851801,0.000204801876252
0.000409137146293,0.000409226525176,0.000409234176083,0.000314800345443,0.000204616037081
0.000413766487451,0.000413862179189,0.000413870743292,0.000318368003366,0.000206935837325
0.000417885053325,0.000417986172792,0.000417995501674,0.000321541772351,0.000208999433005
0.000419638905013,0.000419741337885,0.000419750759208,0.000322892001791,0.000209876960977
0.00042129716894,0.00042140085938,0.000421410369022,0.000324168654382,0.000210706668633
0.000422938304885,0.000423043242339,0.000423052837305,0.000325432116557,0.000211527796808
0.000424576171384,0.000424682370601,0.000424692052043,0.000326693076627,0.000212347297678
0.000426217408887,0.000426324898141,0.000426334669442,0.00032795665757,0.000213168503767
0.000427853013789,0.000427961803181,0.0004279716647,0.000329215913382,0.000213986896612
0.00042948176787,0.000429591865868,0.000429601817717,0.00033046990524,0.000214801865757
0.000431096558285,0.000431207958867,0.000431217998746,0.000331713145645,0.000215609841477
0.000432675040975,0.000432787693538,0.000432797811729,0.000332928397452,0.000216399610953
0.000434259859334,0.000434373794524,0.000434383994628,0.000334148552788,0.000217192569306
0.000435897304465,0.000436012647447,0.000436022948679,0.000335409324655,0.000218011948063
0.00043753021297,0.000437646975661,0.000437657378617,0.000336666616292,0.000218829062934
0.000439157857829,0.000439276051807,0.000439286557193,0.000337919868527,0.000219643550892
0.000440770503978,0.000440890123264,0.000440900728951,0.000339161573626,0.000220450528748
0.000442343442712,0.000442464428723,0.000442475123852,0.000340372666653,0.000221237594123
0.000443914090676,0.000444036460528,0.000444047246644,0.000341582013027,0.000222023523711
0.00044549825934,0.000445622062152,0.000445632945975,0.000342801810475,0.000222816251818
0.000447077522393,0.000447202769273,0.000447213751293,0.000344017843052,0.000223606530969
0.000448652782474,0.000448779485207,0.000448790566054,0.000345230805901,0.000224394813198
0.000450221755891,0.000450349924427,0.000450361104508,0.00034643894053,0.000225179955383
0.000451784305599,0.000451913949751,0.000451925229461,0.000347642141407,0.000225961888944
0.000452959645786,0.000453089992683,0.000453101244455,0.000348546635198,0.000226549515811
0.000452508007836,0.00045263566763,0.000452646335066,0.000348195871822,0.000226320589544
0.00045218226567,0.000452307322108,0.000452317409289,0.000347942017699,0.000226154641652
0.000456357527295,0.000456489319972,0.000456500335365,0.000351160699781,0.000228247521847
0.000460155355163,0.000460293144205,0.000460304966114,0.000354088232012,0.000230151014879
0.000461788013461,0.000461927464592,0.000461939401575,0.000355345527203,0.000230968100189
0.000463322323821,0.000463463347646,0.000463475392108,0.00035652709083,0.000231735964296
0.000464809579614,0.000464952097118,0.000464964235121,0.000357672368982,0.000232480225216
0.000466292227426,0.000466436251882,0.000466448484415,0.000358814113985,0.000233222188643
0.000467776598924,0.000467922156676,0.000467934486709,0.000359957210308,0.000233965031441
0.0004692176754,0.000469364693405,0.000469377107735,0.000361066919052,0.000234686155117
0.00047051808845,0.000470666277016,0.000470678727121,0.000362068103402,0.000235336680876
0.000471823499692,0.000471972874807,0.000471985360963,0.000363073143829,0.000235989709217
0.000473551719167,0.000473703242995,0.000473715918932,0.000364404470099,0.00023685499125
0.000475277919909,0.000475431615186,0.000475444483348,0.00036573426508,0.00023771927844
